File Name,Spectral_Centroid_Mean,Spectral_Centroid_Variance,Spectral_Rolloff_Mean,Spectral_Rolloff_Variance,RMS_Mean,RMS_Variance,Chroma_Mean,Chroma_Variance,Zero_Crossing_Rate_Mean,Zero_Crossing_Rate_Variance,Tempo,MFCC1_Mean,MFCC1_Variance,MFCC2_Mean,MFCC2_Variance,MFCC3_Mean,MFCC3_Variance,MFCC4_Mean,MFCC4_Variance,MFCC5_Mean,MFCC5_Variance,MFCC6_Mean,MFCC6_Variance,MFCC7_Mean,MFCC7_Variance,MFCC8_Mean,MFCC8_Variance,MFCC9_Mean,MFCC9_Variance,MFCC10_Mean,MFCC10_Variance,MFCC11_Mean,MFCC11_Variance,MFCC12_Mean,MFCC12_Variance,MFCC13_Mean,MFCC13_Variance,MFCC14_Mean,MFCC14_Variance,MFCC15_Mean,MFCC15_Variance,MFCC16_Mean,MFCC16_Variance,MFCC17_Mean,MFCC17_Variance,MFCC18_Mean,MFCC18_Variance,MFCC19_Mean,MFCC19_Variance,MFCC20_Mean,MFCC20_Variance,Instrument
ghatam-1.wav,1828.80878,331524.2515,3041.589411,1591499.624,0.036340078,0.00080483,0.2162284,0.09217732,0.091825728,0.000785539,103.359375,-271.28217,10883.986,105.70051,1037.8962,-46.11638,500.08218,-3.1685233,640.70264,-10.233247,189.30235,-17.334572,165.13063,-22.5556,229.0614,3.3385773,280.29092,-5.5276923,126.50742,0.3466368,279.73386,-3.5495827,122.693436,5.6810226,135.86632,5.2053456,157.47676,6.660256,89.84479,-5.264212,66.6922,-5.085886,41.678246,-10.069468,71.078865,-2.5189068,53.014523,1.7864568,112.806274,2.805393,57.670998,Ghatam
ghatam-2.wav,2192.121792,319256.7415,3944.613647,1868968.499,0.041752114,0.00058423,0.25099394,0.08821076,0.099101119,0.000698646,112.3471467,-206.11684,7914.326,83.95949,859.05853,-43.542713,588.81085,17.060518,357.98355,-0.9112686,170.39757,-16.90622,124.10188,-33.172703,217.56479,3.0694451,260.81705,1.5843276,115.52784,16.521162,262.16745,3.351225,90.783554,9.304987,102.24094,0.71825844,129.77567,1.8504573,53.134373,-10.277886,68.0725,-3.2756073,39.388676,-6.2622476,54.641182,-2.5104864,52.701656,-0.9841075,119.41556,3.305118,52.65836,Ghatam
ghatam-3.wav,2206.36668,351330.3524,3861.123546,1643627.563,0.037649393,0.000753748,0.24897942,0.09932703,0.103633256,0.001291554,107.6660156,-234.00963,9219.479,85.21511,1061.1647,-43.681156,365.84302,24.756342,500.45572,-1.7674265,215.00342,-15.987365,119.574844,-24.484785,338.03433,6.813096,391.35593,-1.2443163,109.232925,7.6907754,412.6307,-5.0223255,130.0614,4.8885326,130.14922,4.0266867,186.69489,4.2616568,155.53093,-8.87305,63.701744,0.05697645,80.68293,-5.0368557,140.01813,-1.881434,185.08609,-0.9854349,89.623665,0.34250543,81.20677,Ghatam
ghatam-4.wav,2164.970298,371395.4953,3796.156894,1859949.838,0.041621129,0.000829454,0.26672062,0.105988055,0.101074219,0.001004538,107.6660156,-222.2338,8453.228,81.46838,941.4357,-46.24982,525.3086,20.596085,546.18854,1.0589743,125.94653,-20.92937,123.614426,-30.94611,296.6406,3.2275667,236.285,8.168964,167.12306,20.205536,383.35892,2.871757,82.28164,3.490151,94.55217,-5.894949,87.08279,-3.4929457,50.331207,-10.32977,58.707542,-1.9115055,47.942432,-6.0126433,68.13801,-2.7407951,84.635895,0.98016644,72.916374,5.6978383,55.343025,Ghatam
ghatam-5.wav,2148.583451,335107.4311,3819.451904,1908430.038,0.037166207,0.000601414,0.25107852,0.10279968,0.093223988,0.00072322,112.3471467,-229.85918,7903.527,84.28451,868.5985,-43.416374,498.87717,16.24753,394.1417,3.470488,113.08817,-16.924341,116.22656,-35.06949,119.98688,-0.6784292,113.91424,3.8774893,141.20589,19.107166,232.843,0.8713663,102.52406,4.5502152,110.38204,0.7764173,279.77972,1.2689302,164.2364,-12.052781,34.330997,-3.6146996,36.45261,-2.569385,60.990482,-0.9892981,92.398926,-4.2551894,43.9206,2.6253517,95.5747,Ghatam
ghatam-6.wav,2209.284359,405226.8025,3836.923162,1718921.961,0.043511819,0.001155737,0.2391068,0.099166624,0.109479315,0.001346105,107.6660156,-223.32127,11797.245,83.66885,1047.842,-46.57516,301.9178,25.812912,489.43124,0.5135576,258.2457,-14.463971,145.07921,-19.447634,198.00784,9.809733,335.62216,1.2424906,126.993614,5.226962,305.0608,-7.897227,116.62078,4.711037,149.44917,4.682028,208.24164,0.13467407,137.75906,-9.267774,54.13238,-1.8689871,51.31176,-9.578157,96.22459,-3.7252758,143.04482,0.7790159,143.7714,1.9610902,96.5521,Ghatam
ghatam-7.wav,2011.964661,358703.4162,3384.138627,1643762.409,0.053244289,0.001458164,0.26140428,0.10674434,0.095962802,0.000633704,112.3471467,-208.92238,10801.432,89.10554,878.8921,-54.023224,592.39294,8.697513,752.99866,-4.010326,177.08876,-23.144442,168.5248,-29.700397,186.01994,1.0296814,140.33542,3.9155614,106.55026,17.626522,384.26578,4.046938,145.93538,2.2531438,76.38854,-3.7152991,105.2774,-3.2769485,86.73592,-10.017413,59.998947,-4.979235,40.49063,-7.80311,52.37358,-1.0878876,46.845142,1.3913077,41.650455,4.23947,77.26464,Ghatam
ghatam-8.wav,1919.001183,348038.0884,3273.120284,1715671.495,0.040688236,0.001272871,0.23782638,0.08712408,0.091385165,0.000531559,112.3471467,-252.33441,14746.16,96.29855,933.1477,-42.59624,602.4893,6.927444,585.8963,-4.372508,154.83954,-20.7962,140.09874,-29.977036,142.77505,-2.1394422,208.49884,2.7759552,145.09743,19.042706,255.05374,6.9136395,62.80393,0.6494348,93.2356,-7.1472645,76.887184,-3.7641106,61.706287,-11.221175,53.244053,-5.263178,50.711124,-5.77797,43.45938,-2.723365,45.91558,-1.6521013,40.29496,5.2345014,30.47837,Ghatam
ghatam-9.wav,1751.480159,215508.7367,3002.120028,1421253.675,0.034701001,0.001223196,0.21957964,0.08860032,0.085343794,0.000354268,80.74951172,-272.9652,9153.575,106.63253,390.21173,-37.40795,678.1881,-9.138581,574.5538,-9.483783,153.16507,-16.631947,210.78242,-21.261059,168.29866,-0.899475,141.53012,0.22988053,101.62939,9.045074,269.45956,-1.0804017,74.08833,0.36872223,136.7592,2.6150594,180.2612,4.9712596,65.57124,-5.7875805,60.548725,-6.2009354,42.59434,-4.141416,108.93567,2.487883,79.03568,2.2745876,42.27135,0.52399206,46.35149,Ghatam
ghatam-10.wav,2232.469006,479139.7306,4093.045932,2723282.112,0.020300434,0.000327876,0.19720183,0.08370058,0.096929377,0.000506024,112.3471467,-286.91824,6294.6787,84.70434,968.9519,-26.485258,490.46487,7.984405,515.62366,-5.9418087,178.35303,-11.039435,136.80118,-25.715946,85.72561,5.6131225,178.6397,12.041978,126.8321,18.728836,99.00064,-2.0753005,67.84452,-7.3990455,106.57674,-12.660633,82.153465,-0.5337472,49.76324,-11.040563,40.95755,-5.0537305,39.50801,4.730086,38.773376,9.694993,108.44816,1.6120038,29.489668,1.7510235,26.875278,Ghatam
